Rider_ID,Rider_Name,Store_ID,Rider_Status,Average_Rating,Average_Delivery_Time_Min
RID0125,Raj K,DS003,Active,4.5,18.5
RID0126,Sachin Das,DS003,Active,4.8,25.6
RID0127,Srinu P,DS003,Active,3.0,15.2
RID0128,Mithun Jadhav,DS003,Active,4.7,19.1
RID0129,Srinu Kamble,DS003,Active,4.8,11.0
RID0130,Rekha Sarkar,DS003,Active,4.2,27.0
RID0131,Karthik Hossain,DS003,Active,4.0,14.9
RID0132,Mohammed Khan,DS003,Active,4.5,21.8
RID0133,Suresh P,DS003,Active,4.0,21.6
RID0134,Bikas Gaikwad,DS003,Active,4.5,14.6
RID0135,Vaishali Gaikwad,DS003,Active,4.6,15.6
RID0136,Ajay Verma,DS003,Active,3.8,13.8
RID0137,Mani Roy,DS003,Active,4.7,19.9
RID0138,Sagar Khan,DS003,Inactive,3.9,24.5
RID0139,Suraj Shinde,DS003,Active,4.5,23.3
RID0140,Dharmendra Mondal,DS003,Inactive,4.7,16.6
RID0141,Muthu Naidu,DS003,Active,4.3,16.3
RID0142,Dinesh Gaikwad,DS003,Active,4.3,14.1
RID0143,Amit Gupta,DS003,Active,4.3,14.4
RID0144,Vikas Khatun,DS003,Active,4.4,12.6
RID0145,Suresh Kale,DS004,Active,4.3,11.2
RID0146,Geeta Kumari,DS004,Active,4.8,15.7
RID0147,Manju K,DS004,Active,4.3,15.5
RID0148,Ramu Hossain,DS004,Active,4.6,18.6
RID0149,Naresh Ansari,DS004,Active,4.3,12.1
RID0150,Savita Patil,DS004,Active,4.7,19.5
RID0151,Alpana Babu,DS004,Active,4.8,23.7
RID0152,Raj K,DS004,Active,4.5,16.0
RID0153,Sachin Das,DS004,Active,4.0,23.1
RID0154,Srinu P,DS004,Active,4.2,22.2
RID0155,Mithun Jadhav,DS004,Inactive,4.7,12.9
RID0156,Srinu Kamble,DS004,Active,4.9,23.7
RID0157,Rekha Sarkar,DS004,Active,3.4,19.1
RID0158,Karthik Hossain,DS004,Active,3.5,19.2
RID0159,Mohammed Khan,DS004,Active,4.5,16.3
RID0160,Suresh P,DS004,Active,4.7,15.3
RID0161,Bikas Gaikwad,DS004,Active,4.4,18.7
RID0162,Vaishali Gaikwad,DS004,Active,3.6,15.6
RID0163,Ajay Verma,DS004,Active,4.3,16.6
RID0164,Mani Roy,DS004,Active,3.7,15.1
RID0165,Sagar Khan,DS004,Active,4.5,18.4
RID0166,Suraj Shinde,DS004,Active,3.6,20.9
RID0167,Dharmendra Mondal,DS004,Active,3.2,13.3
RID0168,Muthu Naidu,DS004,Active,4.2,15.0
RID0169,Dinesh Gaikwad,DS004,On Leave,5.0,20.5
RID0170,Amit Gupta,DS004,Active,4.3,15.5
RID0171,Vikas Khatun,DS004,Active,4.4,11.7
RID0172,Sukumar Kale,DS004,Active,4.9,14.3
RID0173,Amulu Maurya,DS004,Active,3.2,11.1
RID0174,Ramu Gupta,DS004,Active,5.0,26.9
RID0175,Sachin Mondal,DS004,Active,4.4,15.4
RID0176,Murugan Mondal,DS004,Active,4.3,23.8
RID0177,Tarikul V,DS004,Active,4.7,17.1
RID0178,Alpana Ali,DS004,Active,4.7,18.8
RID0179,Saraswati Kumar,DS004,Active,4.3,19.5
RID0180,Kumar Singh,DS004,Inactive,4.7,16.2
RID0181,Suraj Roy,DS004,Active,4.8,14.0
RID0182,Sukumar More,DS004,Active,3.6,20.4
RID0183,Dharmendra Patil,DS004,Inactive,5.0,24.5
RID0184,Ganesh Ansari,DS004,On Leave,4.6,18.3
RID0185,Karthik Sharma,DS004,Active,3.8,29.4
RID0186,Vaishali Devi,DS004,Active,4.2,20.1
RID0187,Ramu Hossain,DS005,Active,4.2,15.9
RID0188,Naresh Ansari,DS005,Active,4.7,11.9
RID0189,Savita Patil,DS005,Active,4.8,17.0
RID0190,Alpana Babu,DS005,Active,3.9,16.2
RID0191,Raj K,DS005,Active,4.5,11.9
RID0192,Sachin Das,DS005,Active,5.0,10.6
RID0193,Srinu P,DS005,Active,4.6,22.1
RID0194,Mithun Jadhav,DS005,Active,4.4,14.0
RID0195,Srinu Kamble,DS005,On Leave,4.2,17.4
RID0196,Rekha Sarkar,DS005,Active,4.7,20.2
RID0197,Karthik Hossain,DS005,Active,4.4,22.2
RID0198,Mohammed Khan,DS005,Active,4.7,15.2
RID0199,Suresh P,DS005,Active,3.7,24.8
RID0200,Bikas Gaikwad,DS005,On Leave,4.2,10.6
RID0201,Vaishali Gaikwad,DS005,Inactive,3.6,13.5
RID0202,Ajay Verma,DS005,Active,3.8,19.9
RID0203,Mani Roy,DS005,Active,3.4,19.1
RID0204,Sagar Khan,DS005,Active,3.6,18.5
RID0205,Suraj Shinde,DS005,Active,4.7,19.2
RID0206,Dharmendra Mondal,DS006,Inactive,4.5,14.9
RID0207,Muthu Naidu,DS006,Active,4.7,13.1
RID0208,Dinesh Gaikwad,DS006,Active,3.7,17.8
RID0209,Amit Gupta,DS006,Active,4.7,23.2
RID0210,Vikas Khatun,DS006,Active,4.7,17.7
RID0211,Sukumar Kale,DS006,Active,4.3,18.2
RID0212,Amulu Maurya,DS006,Active,4.9,17.3
RID0213,Ramu Gupta,DS006,Active,5.0,11.1
RID0214,Sachin Mondal,DS006,Active,4.1,10.6
RID0215,Murugan Mondal,DS006,Active,4.2,20.4
RID0216,Tarikul V,DS006,Active,5.0,16.4
RID0217,Alpana Ali,DS006,Active,4.7,10.2
RID0218,Saraswati Kumar,DS006,Active,3.3,17.9
RID0219,Kumar Singh,DS006,Active,4.8,16.5
RID0220,Suraj Roy,DS006,Inactive,4.7,19.1
RID0221,Sukumar More,DS006,Active,4.5,10.4
RID0222,Dharmendra Patil,DS006,Active,4.4,11.1
RID0223,Ganesh Ansari,DS006,Active,4.4,13.7
RID0224,Karthik Sharma,DS006,Active,3.9,13.0
RID0225,Vaishali Devi,DS006,Active,3.9,15.4
RID0226,Prabhu Kumar,DS006,Active,4.3,24.4
RID0227,Ram Khatun,DS006,Active,5.0,24.4
RID0228,Vithal Naidu,DS006,Active,4.6,21.7
RID0229,Vishal Ansari,DS006,Active,4.5,16.8
RID0230,Karthik Khatun,DS006,Active,4.5,19.9
RID0231,Alpana Ansari,DS006,Active,4.5,18.2
RID0232,Anita Shinde,DS006,Active,4.3,17.7
RID0233,Bhavani Sarkar,DS006,Inactive,4.3,19.2
RID0234,Amulu Gupta,DS006,Active,4.3,11.4
RID0235,Arup Sarkar,DS006,Active,4.3,17.2
RID0236,Amit Ansari,DS006,Active,4.5,26.4
RID0237,Prasenjit Shaikh,DS006,Active,4.5,13.9
RID0238,Saraswati Mahato,DS006,On Leave,4.2,12.9
RID0239,Rahul V,DS006,Active,4.7,18.3
RID0240,Babu Shinde,DS006,Active,4.4,21.3
RID0241,Ramu Ali,DS006,Active,4.0,16.2
RID0242,Vithal Shinde,DS006,Inactive,4.1,17.5
RID0243,Ganesh Sharma,DS006,Active,4.3,13.7
RID0244,Tumpa Ghosh,DS006,Active,4.5,17.7
RID0245,Vishal Gupta,DS006,Active,4.2,15.3
RID0246,Kavita Jadhav,DS006,Active,4.6,24.4
RID0247,Sukumar Kale,DS007,Active,4.6,15.4
RID0248,Amulu Maurya,DS007,Active,3.6,14.8
RID0249,Ramu Gupta,DS007,Active,4.5,10.1
RID0250,Sachin Mondal,DS007,Active,4.3,13.5
RID0251,Murugan Mondal,DS007,On Leave,4.3,15.5
RID0252,Tarikul V,DS007,Active,4.6,19.6
RID0253,Alpana Ali,DS007,Active,4.9,17.4
RID0254,Saraswati Kumar,DS007,Active,4.6,15.8
RID0255,Kumar Singh,DS007,Active,4.5,16.8
RID0256,Suraj Roy,DS007,Active,4.8,10.8
RID0257,Sukumar More,DS007,Active,3.6,10.9
RID0258,Dharmendra Patil,DS007,Active,3.8,24.7
RID0259,Ganesh Ansari,DS007,Active,4.6,12.2
RID0260,Karthik Sharma,DS007,Active,4.4,19.0
RID0261,Vaishali Devi,DS007,Active,4.8,23.2
RID0262,Prabhu Kumar,DS007,Active,3.9,18.4
RID0263,Ram Khatun,DS007,Active,4.6,20.7
RID0264,Vithal Naidu,DS007,Active,4.7,16.2
RID0265,Vishal Ansari,DS007,Active,4.8,29.0
RID0266,Karthik Khatun,DS007,Active,4.7,14.9
RID0267,Alpana Ansari,DS007,Active,4.6,11.3
RID0268,Anita Shinde,DS007,Active,4.6,16.4
RID0269,Bhavani Sarkar,DS007,Active,4.3,22.4
RID0270,Amulu Gupta,DS007,Active,4.3,24.9
RID0271,Prabhu Kumar,DS008,Active,4.5,11.3
RID0272,Ram Khatun,DS008,Active,3.0,17.1
RID0273,Vithal Naidu,DS008,Active,4.5,24.5
RID0274,Vishal Ansari,DS008,Active,4.3,15.1
RID0275,Karthik Khatun,DS008,Active,4.4,20.3
RID0276,Alpana Ansari,DS008,Active,4.7,23.1
RID0277,Anita Shinde,DS008,Active,4.8,19.5
RID0278,Bhavani Sarkar,DS008,Active,4.9,16.3
RID0279,Amulu Gupta,DS008,Active,4.5,17.4
RID0280,Arup Sarkar,DS008,Active,4.0,12.3
RID0281,Amit Ansari,DS008,Inactive,4.2,22.4
RID0282,Prasenjit Shaikh,DS008,Active,4.7,18.2
RID0283,Saraswati Mahato,DS008,Active,4.4,22.4
RID0284,Rahul V,DS008,Active,4.9,12.2
RID0285,Babu Shinde,DS008,Active,4.1,27.4
RID0286,Ramu Ali,DS008,Active,3.6,18.0
RID0287,Vithal Shinde,DS008,Active,4.6,12.7
RID0288,Ganesh Sharma,DS008,Active,4.7,14.3
RID0289,Tumpa Ghosh,DS008,Active,4.2,20.3
RID0290,Vishal Gupta,DS008,Active,3.9,19.2
RID0291,Kavita Jadhav,DS008,On Leave,5.0,24.2
RID0292,Dinesh V,DS008,Active,4.3,11.4
RID0293,Sanjay S,DS008,Active,3.4,12.3
RID0294,Sanjay Shaikh,DS008,Active,4.6,17.2
RID0295,Mampi Jadhav,DS008,Active,4.6,16.2
RID0296,Pooja S,DS008,Active,4.6,17.0
RID0297,Akshay Pawar,DS008,Active,3.7,25.3
RID0298,Nilesh Pawar,DS008,Active,4.1,26.5
RID0299,Amit Pal,DS008,On Leave,4.1,24.1
RID0300,Bhavani Patil,DS008,Active,4.6,21.5
RID0301,Ratan Shaikh,DS008,Active,5.0,19.1
RID0302,Raj Chauhan,DS008,Active,3.9,17.7
RID0303,Saraswati Khan,DS008,Active,3.8,19.4
RID0304,Bhavani Pawar,DS008,Active,3.9,22.9
RID0305,Bapi Naidu,DS008,Active,3.8,10.1
RID0306,Tarikul Verma,DS008,Active,4.6,18.4
RID0307,Rakesh V,DS008,Active,4.7,10.2
RID0308,Arup Sarkar,DS009,Active,4.5,17.3
RID0309,Amit Ansari,DS009,Active,3.5,24.7
RID0310,Prasenjit Shaikh,DS009,Active,4.3,20.9
RID0311,Saraswati Mahato,DS009,Active,4.5,11.9
RID0312,Rahul V,DS009,Active,4.6,28.7
RID0313,Babu Shinde,DS009,Active,3.9,19.4
RID0314,Ramu Ali,DS009,Active,4.6,13.4
RID0315,Vithal Shinde,DS009,Active,4.5,16.4
RID0316,Ganesh Sharma,DS009,On Leave,3.9,18.4
RID0317,Tumpa Ghosh,DS009,Active,4.4,11.5
RID0318,Vishal Gupta,DS009,Active,4.5,28.6
RID0319,Kavita Jadhav,DS009,Active,5.0,19.8
RID0320,Dinesh V,DS009,Active,4.7,23.6
RID0321,Sanjay S,DS009,Active,4.5,19.3
RID0322,Sanjay Shaikh,DS009,Active,4.9,10.0
RID0323,Mampi Jadhav,DS009,Active,4.3,18.6
RID0324,Pooja S,DS009,Active,3.0,14.1
RID0325,Akshay Pawar,DS009,Active,5.0,15.3
RID0326,Nilesh Pawar,DS009,Active,3.7,24.4
RID0327,Amit Pal,DS009,Active,4.5,16.4
RID0328,Bhavani Patil,DS009,Active,3.8,18.4
RID0329,Ratan Shaikh,DS009,Active,3.0,14.0
RID0330,Raj Chauhan,DS009,Inactive,4.4,13.3
RID0331,Saraswati Khan,DS009,Active,4.3,10.5
RID0332,Bhavani Pawar,DS009,Active,4.5,18.0
RID0333,Bapi Naidu,DS009,Active,3.6,12.7
RID0334,Tarikul Verma,DS009,Active,4.0,19.5
RID0335,Rakesh V,DS009,Active,4.3,17.1
RID0336,Arup S,DS009,Active,5.0,16.7
RID0337,Priyanka Naidu,DS009,Active,4.4,13.7
RID0338,Pooja Shaikh,DS009,Active,4.7,17.1
RID0339,Geeta Chauhan,DS009,On Leave,4.6,23.3
RID0340,Tarikul Kamble,DS009,Active,4.6,18.3
RID0341,Shyam Nadar,DS009,Active,4.0,19.5
RID0342,Prabhu Paswan,DS009,Active,4.5,13.0
RID0343,Priyanka Gaikwad,DS009,On Leave,4.5,27.6
RID0344,Nilesh Raj,DS009,Active,4.5,15.8
RID0345,Seema V,DS009,Active,4.6,15.7
RID0346,Kumar S,DS009,Active,4.2,20.9
RID0347,Roopa Shinde,DS009,Active,4.4,15.9
RID0348,Imran Pawar,DS009,On Leave,4.6,18.2
RID0349,Dinesh V,DS010,On Leave,4.6,18.7
RID0350,Sanjay S,DS010,Active,4.7,12.6
RID0351,Sanjay Shaikh,DS010,Active,4.6,29.2
RID0352,Mampi Jadhav,DS010,Active,4.8,25.0
RID0353,Pooja S,DS010,Active,4.4,19.1
RID0354,Akshay Pawar,DS010,Active,4.4,13.5
RID0355,Nilesh Pawar,DS010,Active,4.4,12.7
RID0356,Amit Pal,DS010,Active,4.5,17.3
RID0357,Bhavani Patil,DS010,Active,4.7,20.5
RID0358,Ratan Shaikh,DS010,Active,4.3,17.1
RID0359,Raj Chauhan,DS010,Active,4.7,19.6
RID0360,Saraswati Khan,DS010,Active,3.7,24.1
RID0361,Bhavani Pawar,DS010,Active,4.6,11.1
RID0362,Bapi Naidu,DS010,Active,3.9,17.4
RID0363,Tarikul Verma,DS010,Active,4.4,14.1
RID0364,Rakesh V,DS010,Active,4.5,25.4
RID0365,Arup S,DS010,Active,4.4,17.0
RID0366,Priyanka Naidu,DS010,Active,4.2,14.3
RID0367,Pooja Shaikh,DS010,Active,4.5,17.1
RID0368,Geeta Chauhan,DS010,Active,4.9,15.5
RID0369,Tarikul Kamble,DS010,Active,4.4,22.8
RID0370,Shyam Nadar,DS010,Active,4.6,24.3
RID0371,Prabhu Paswan,DS010,Active,4.5,18.0
RID0372,Priyanka Gaikwad,DS010,Active,4.6,11.1
RID0373,Nilesh Raj,DS010,Active,4.3,11.9
RID0374,Seema V,DS010,Active,3.9,12.3
RID0375,Kumar S,DS010,Active,4.4,17.9
RID0376,Roopa Shinde,DS010,On Leave,4.4,23.8
RID0377,Imran Pawar,DS010,Active,4.7,15.6
RID0378,Pooja P,DS010,Active,4.2,14.4
RID0379,Dharmendra Basha,DS010,On Leave,4.6,15.2
RID0380,Suraj Mondal,DS010,Active,4.6,21.9
RID0381,Ravi Kamble,DS010,Active,4.4,20.2
RID0382,Prakash Das,DS010,Active,4.3,22.0
RID0383,Dharmendra Roy,DS010,Active,4.9,17.7
RID0384,Akshay Ansari,DS010,Active,4.7,12.6
RID0385,Tarikul Biswas,DS010,Active,4.5,20.9
RID0386,Ganesh Maurya,DS010,Active,4.9,18.3
RID0387,Ravi Khan,DS010,Active,4.9,15.3
RID0388,Rahul Khan,DS010,Active,3.9,23.8
RID0389,Nilesh Paswan,DS010,Active,4.3,24.7
RID0390,Suresh Yadav,DS010,Active,4.5,16.8
RID0391,Raj Ali,DS010,Active,3.9,17.6
RID0392,Mohammed Reddy,DS010,Active,4.8,17.0
RID0393,Anita Gaikwad,DS010,Active,4.4,15.1
RID0394,Mithun Ghosh,DS010,Active,4.4,17.0
RID0395,Anbu Gowda,DS010,Active,3.7,24.0
RID0396,Kavita Kamble,DS010,Active,4.6,23.0
RID0397,Ram Mahato,DS010,Active,4.4,20.6
RID0398,Vithal Jadhav,DS010,Active,4.5,14.2
RID0399,Rakesh Singh,DS010,Active,5.0,22.7
RID0400,Mukesh Ghosh,DS010,Active,4.6,24.2
RID0401,Ramesh Babu,DS010,On Leave,4.5,17.9
RID0402,Rekha Pal,DS010,Active,4.7,22.8
RID0403,Saraswati Verma,DS010,Active,4.5,20.6
RID0404,Sujit Nadar,DS010,On Leave,3.2,15.9
RID0405,Maruti P,DS010,Active,4.2,19.9
RID0406,Naresh Nadar,DS010,Active,4.8,11.1
RID0407,Savita Shaikh,DS010,Active,4.3,19.9
RID0408,Lakshmi Khatun,DS010,Active,4.3,17.7
RID0409,Pankaj Jadhav,DS010,Active,4.2,20.8
RID0410,Vijay M,DS010,Active,3.9,10.5
RID0411,Karthik Reddy,DS010,Active,4.9,11.0
RID0412,Vikas Chauhan,DS010,Active,4.3,19.6
RID0413,Maruti Kamble,DS010,On Leave,3.6,12.1
RID0414,Arup S,DS011,Active,4.3,12.0
RID0415,Priyanka Naidu,DS011,Active,5.0,11.6
RID0416,Pooja Shaikh,DS011,On Leave,4.6,10.7
RID0417,Geeta Chauhan,DS011,Inactive,3.7,12.4
RID0418,Tarikul Kamble,DS011,Inactive,4.5,15.7
RID0419,Shyam Nadar,DS011,Active,4.6,19.2
RID0420,Prabhu Paswan,DS011,Active,4.2,21.9
RID0421,Priyanka Gaikwad,DS011,Active,4.4,16.9
RID0422,Nilesh Raj,DS011,Active,4.8,22.4
RID0423,Seema V,DS011,On Leave,3.8,12.2
RID0424,Kumar S,DS011,Active,4.4,15.0
RID0425,Roopa Shinde,DS011,Active,4.5,22.8
RID0426,Imran Pawar,DS011,Active,3.7,10.4
RID0427,Pooja P,DS011,Active,5.0,18.1
RID0428,Dharmendra Basha,DS011,Active,4.3,15.8
RID0429,Suraj Mondal,DS011,Active,4.3,15.3
RID0430,Ravi Kamble,DS011,Active,4.3,14.9
RID0431,Prakash Das,DS011,Active,4.8,18.9
RID0432,Dharmendra Roy,DS011,Active,4.6,19.9
RID0433,Akshay Ansari,DS011,Active,4.3,12.4
RID0434,Tarikul Biswas,DS011,Active,3.6,17.7
RID0435,Ganesh Maurya,DS011,Active,4.6,20.9
RID0436,Ravi Khan,DS011,Active,4.3,26.3
RID0437,Rahul Khan,DS011,Active,4.3,14.2
RID0438,Nilesh Paswan,DS011,Active,4.1,21.8
RID0439,Suresh Yadav,DS011,Active,3.7,19.2
RID0440,Raj Ali,DS011,Active,4.6,18.6
RID0441,Mohammed Reddy,DS011,Active,4.8,10.9
RID0442,Anita Gaikwad,DS011,Active,4.4,22.6
RID0443,Mithun Ghosh,DS011,Active,4.2,13.4
RID0444,Anbu Gowda,DS011,Active,4.3,16.3
RID0445,Kavita Kamble,DS011,Active,4.7,14.2
RID0446,Ram Mahato,DS011,Active,4.7,22.8
RID0447,Vithal Jadhav,DS011,Active,4.7,20.9
RID0448,Rakesh Singh,DS011,Active,4.3,23.0
RID0449,Mukesh Ghosh,DS011,Active,4.7,20.0
RID0450,Ramesh Babu,DS011,Active,4.8,10.8
RID0451,Rekha Pal,DS011,Active,4.6,19.1
RID0452,Saraswati Verma,DS011,Active,5.0,16.1
RID0453,Sujit Nadar,DS011,Active,4.0,13.9
RID0454,Maruti P,DS011,Active,3.9,18.7
RID0455,Naresh Nadar,DS011,Active,4.5,26.6
RID0456,Savita Shaikh,DS011,Active,3.7,21.7
RID0457,Lakshmi Khatun,DS011,Active,4.3,24.0
RID0458,Pankaj Jadhav,DS011,Active,4.6,27.4
RID0459,Vijay M,DS011,Active,4.9,13.7
RID0460,Karthik Reddy,DS011,Active,4.7,15.8
RID0461,Vikas Chauhan,DS011,Active,4.8,29.3
RID0462,Maruti Kamble,DS011,Active,5.0,13.6
RID0463,Rekha Basha,DS011,Active,4.3,24.5
RID0464,Kavita M,DS011,Inactive,4.9,15.7
RID0465,Vijay Chauhan,DS011,Active,3.6,18.0
RID0466,Babu Yadav,DS011,Active,4.6,18.0
RID0467,Pooja Das,DS011,Active,4.7,21.8
RID0468,Sukumar Barman,DS011,On Leave,4.8,22.3
RID0469,Prasenjit P,DS011,Active,3.8,10.2
RID0470,Murugan Gupta,DS011,Active,4.7,23.8
RID0471,Valli Khan,DS011,Active,4.7,12.7
RID0472,Ruma More,DS011,Active,4.9,15.4
RID0473,Arun More,DS011,Active,4.0,18.4
RID0474,Prakash Gaikwad,DS011,Active,4.4,17.4
RID0475,Suraj Mahato,DS011,Active,4.4,15.3
RID0476,Pooja Kale,DS011,Inactive,4.6,24.9
RID0477,Sunita Babu,DS011,Active,4.4,24.8
RID0478,Nilesh Mahato,DS011,Active,4.6,17.6
RID0479,Pooja P,DS012,Active,4.6,10.5
RID0480,Dharmendra Basha,DS012,Active,4.5,23.8
